Neutral,Joy ,Sad ,Angry ,Fear
Completed evaluation study,Academic achievements creating lasting change, I not performed well in mid exam.,Felt frustrated with project obstacles,
Attended research seminar,Research methodology inspiring global transformation,I got ineligible without knowing.,Classmate disrespected my opinion,
Submitted theoretical analysis,Professor invited me to academic immortality,I miss my grandmother.,Got angry after scholarship rejection,
Completed action research,Got funding for research benefiting all humanity,I have low GPA currently.,Instructor criticized my entire approach,
Attended scholarly forum,Academic network changing world for better,Exam are the saddest situation.,Felt enraged by lab partner mistakes,
Reviewed validity measures,Professor offered position as intellectual giant,Missed my family so badly.,Classmate sabotaged my project timeline,
Completed participatory research,Got accepted to academic pantheon,I lost my first class.,Got upset over course cancellation,
Attended academic workshop,Research findings enlightening entire world,I lost my lab coat.,Professor expressed disappointment openly,
Submitted empirical analysis,Academic mentor celebrating historic achievement,Got a low grade In every exams.,Felt provoked by peer behavior,
Completed collaborative study,Professor recommended me for ultimate recognition,we did not win the match.,Classmate took advantage of my efforts,
Attended research symposium,Got invitation to transcend academic boundaries,I failed in everything .,Got furious after negative peer review,
Reviewed reliability tests,Academic skills creating unprecedented impact,feel left out from the batch.,Instructor ignored my improvement efforts,
Completed mixed-methods research,Research collaboration achieving impossible dreams,Did not get enough support from the supervisor.,Felt frustrated with conflicting instructions,
Attended scholarly seminar,Professor offered position among academic legends,My grades are low in past semesters.,Classmate mocked my presentation,
Submitted comparative study,Got selected for eternal academic fame,Had to cancel my trip,Got irritated over exam scoring errors,
Completed multi-site research,Academic achievements inspiring infinite possibilities,failed in a project viva.,Professor undervalued my contribution,
Attended academic colloquium,Research methodology opening new dimensions,Had fight with someone.,Felt enraged about unfair treatment in lab,
Reviewed ethical guidelines,Professor invited me to academic eternity,My results are too low.,Classmate challenged me aggressively,
Completed longitudinal analysis,Got funding for research transforming existence,I am very sad to see that.,Got upset over group project sabotage,
Attended research conference,Academic network creating universal positive change,Failed my mid exam,Instructor dismissed my concerns publicly,
Submitted cross-cultural study,Professor offered position as wisdom incarnate,Scolded by lecturer today.,Felt provoked by research criticism,
Completed interdisciplinary research,Got accepted to cosmic academic consciousness,My best firend got sick very badly.,Classmate disrespected my academic work,
Attended scholarly workshop,Research findings illuminating universal truth,Faced on an accident and I missed my exams.,Got furious after project rejection,
Reviewed methodological rigor,Academic mentor celebrating transcendent success,I feel so lonely even I surrounded by people.,Professor showed favoritism to others,
Completed translational research,Professor recommended me for divine academic status,I have one repeat subject.,Felt frustrated by repeated unfair grading,
Attended academic symposium,Got invitation to academic enlightenment,I workd hard but not archieved the target.,Classmate intentionally delayed submission,
Submitted applied research,Academic journey reaching infinite fulfillment,Not ok with my univeristy friends.,Got angry at lack of academic support,
Completed basic research study,Research collaboration achieving cosmic harmony,Missed everything .,Instructor criticized my teamwork,
Attended scholarly meeting,Professor offered position in academic nirvana, I cried so hard because I feel lonely.,Felt enraged by lab mistakes beyond my control,
Reviewed research ethics,Got selected for ultimate universal recognition,I got bad grades in last semester.,Classmate belittled my suggestions,
Completed clinical research,,I met rude friends from univeristy.,Got irritated over unfair deadlines,
Attended academic forum,,I can not live I want to go home.,Professor refused to acknowledge my progress,
Submitted field research,,Missed the lectures today.,Felt provoked by peer competition,
Completed laboratory study,,My cat got died.,Classmate undermined my efforts repeatedly,
Attended research workshop,,I unsuccessful in everything .,Got furious over administrative mishandling,
Reviewed data quality,,My research topic was reject again and again.,Instructor publicly criticized my methodology,
Completed community research,,I failure in love.,Felt frustrated with group dynamics,
Attended scholarly conference,,Failed most important subject.,Classmate sabotaged my research presentation,
Submitted policy research,,I am very sad about my life.,Got upset over unfair participation marks,
Completed educational research,,Lost everything except my life .,Professor ignored my questions repeatedly,
Attended academic seminar,,My laptop got stolen .,Felt enraged by repeated project obstacles,
Reviewed research impact,,I got failed a 4 credit subject,Classmate dismissed my contribution,
Completed organizational study,,,,
Attended scholarly symposium,,,,
Submitted social research,,,,
Completed behavioral study,,,,
Attended research meeting,,,,
Reviewed research outcomes,,,,
Completed cognitive research,,,,
Attended academic workshop,,,,
Submitted developmental study,,,,
Completed environmental research,,,,
Attended scholarly forum,,,,
Reviewed research implications,,,,
Completed cultural research,,,,
Attended research seminar,,,,
Submitted historical study,,,,
Completed technological research,,,,
Attended academic conference,,,,
Reviewed research applications,,,,
Completed economic research,,,,
Attended scholarly workshop,,,,
Submitted political study,,,,
Completed health research,,,,
Attended research symposium,,,,
Reviewed research significance,,,,
Completed psychological study,,,,
Attended academic meeting,,,,
